,location
0,Electronic City Phase II
1,Chikka Tirupathi
2,Uttarahalli
3,Lingadheeranahalli
4,Kothanur
5,Whitefield
6,Old Airport Road
7,Rajaji Nagar
8,Marathahalli
9,Gandhi Bazar
10,Whitefield
11,Whitefield
12,7th Phase JP Nagar
13,Gottigere
14,Sarjapur
15,Mysore Road
16,Bisuvanahalli
17,Raja Rajeshwari Nagar
18,Ramakrishnappa Layout
19,Manayata Tech Park
20,Kengeri
21,Binny Pete
22,Thanisandra
23,Bellandur
24, Thanisandra
25,Mangammanapalya
26,Electronic City
27,Whitefield
28,Ramagondanahalli
29,Electronic City
30,Yelahanka
31,Bisuvanahalli
32,Hebbal
33,Raja Rajeshwari Nagar
34,Kasturi Nagar
35,Kanakpura Road
36,Electronics City Phase 1
37,Kundalahalli
38,Chikkalasandra
39,Uttarahalli
40,Murugeshpalya
41,Sarjapur  Road
42,Ganga Nagar
43,Yelahanka
44,Kanakpura Road
45,HSR Layout
46,Doddathoguru
47,Whitefield
48,KR Puram
49,Himagiri Meadows
50,Adarsh Nagar
51,Bhoganhalli
52,Whitefield
53,Lakshminarayana Pura
54,Yelahanka
55,Begur Road
56,Devanahalli
57,Ramakrishnappa Layout
58,Murugeshpalya
59,Govindaraja Nagar Ward
60,Tharabanahalli
61,Ganga Nagar
62,Whitefield
63,Varthur
64,Bommanahalli
65,Doddathoguru
66,Gunjur
67,Marathahalli
68,Devarachikkanahalli
69,Kanakpura Road
70,Double Road
71,Begur Road
72,Hegde Nagar
73,Haralur Road
74,Hennur Road
75,Kothannur
76,Kalena Agrahara
77,Cholanayakanahalli
78,Kaval Byrasandra
79,ISRO Layout
80,Kodanda Reddy Layout
81,Hennur Road
82,Yelahanka
83,Garudachar Palya
84,EPIP Zone
85,Hegde Nagar
86,Kanakpura Road
87,Dasanapura
88,Kasavanhalli
89,Rajaji Nagar
90,Sanjay nagar
91,Electronic City
92, Mysore Highway
93,ISRO Layout
94,Thanisandra
95,Domlur
96,Kengeri
97,Sarjapura - Attibele Road
98,Devasthanagalu
99,T Dasarahalli
100,Yeshwanthpur
101,Chandapura
102,Kothanur
103,Green View Layout
104,Shantiniketan Layout
105,Peenya
106,Nagarbhavi
107,Rajaji Nagar
108,Jalahalli West
109,Devanahalli
110,Lakshmiamma Garden
111,Byatarayanapura
112,Whitefield
113,Electronic City
114,Ramamurthy Nagar
115,Sarjapur  Road
116,Kengeri
117,Thanisandra
118,Malleshwaram
119,Hennur Road
120,Thanisandra
121,Akshaya Nagar
122,Hebbal
123,Shampura
124,Devanahalli
125,Kadugodi
126,LB Shastri Nagar
127,Vajarahalli
128,Hormavu
129,Vishwapriya Layout
130,Peenya
131,Sarjapur
132,Electronic City
133,Ramaswamy Palya - Kammanahalli Main Road
134,Kudlu Gate
135,Kanakpura Road
136,Devanahalli
137,8th Phase JP Nagar
138,Bommasandra Industrial Area
139,Chandra Layout
140,Hennur Road
141,Yelahanka
142,Kasavanhalli
143,ISRO Layout
144,Anandapura
145,Vishveshwarya Layout
146,Kothanur
147,Kengeri Satellite Town
148,Basavanapura
149,Dinnur
150,Mysore Road
151,Kannamangala
152, Devarachikkanahalli
153,Sanjeevini Nagar
154,Hulimavu
155,Electronic City Phase II
156,Kalena Agrahara
157,Thanisandra
158,Thanisandra
159,Mahalakshmi Layout
160,Yarandahalli
161,Hosa Road
162,Keshava Nagar
163,Whitefield
164,RMV Extension
165,Sarjapur
166,Tejaswini Nagar
167,Electronic City
168,Electronic City
169,Jai Bheema Nagar
170,Kothnur Narayanapura
171,Attibele
172,Electronic City
173,Electronic City
174,CV Raman Nagar
175,CHIKKATIRUPATHI
176,Kumaraswami Layout
177,Nagavara
178,Malleshwaram
179,Electronic City
180,Hulimavu
181,Hebbal Kempapura
182,Thanisandra
183,Vijayanagar
184,Electronic City
185,8th block Koramangala
186,Jakkuru Layout
187,Electronic City
188,KR Puram
189,Marathahalli
190,Kanakpura Road
191,Pattandur Agrahara
192,Bellandur
193,Ejipura
194,Marathahalli
195,Yelahanka
196,Kothanur
197,MS Pallya
198,HSR Layout
199,Nagasandra
200,EPIP Zone
201,Langford Town
202,Whitefield
203,Whitefield
204,Kadugodi
205,Yelahanka
206,Kogilu
207,Panathur
208,Nagondanahalli
209,Padmanabhanagar
210,1st Block Jayanagar
211,Kammasandra
212,"Off Sarjapur Road, "
213,Electronics City Phase 1
214,Tala Cauvery Layout
215,Dasarahalli
216,Magadi Road
217,Electronic City
218,Ngef Layout
219,Sarjapur  Road
220,Sarjapur  Road
221,Koramangala
222,"Lakshminarayanapura, Electronic City Phase 2"
223,Sarjapur  Road
224,Devanahalli
225,Muthurayya Swamy Layout
226,7th Phase JP Nagar
227,Shantiniketan Layout
228,Hebbal
229,Dommasandra
230,Budigere
231,Dodda Nekkundi Extension
232,Mylasandra
233,Electronic City
234,Kalyan nagar
235,Dr Shivarama Karantha Nagar
236,Bank Of Baroda Colony
237,Vijayanagar
238,Ramamurthy Nagar
239,Kullappa Colony
240,Chandapura
241,Mukkutam Nagar
242,Chandapura
243,Ashwath Nagar
244,Ncpr Industrial Layout
245,Electronic City
246,Electronic City
247,Kothanur
248,Meenakunte
249,OMBR Layout
250,Chandapura
251,Anand Nagar
252,7th Phase JP Nagar
253,Shree Ananth Nagar Layout
254,Kundalahalli Colony
255,Horamavu Agara
256,Sarjapur  Road
257,Electronic City
258,MCECHS  layout
259,Coffee Board Layout
260,Ambedkar Nagar
261,Vijayanagar
262,Raja Rajeshwari Nagar
263,Budigere
264,Sarjapur  Road
265,Attibele
266,KUDLU MAIN ROAD
267,Hennur Road
268,Geleyara Balaga Layout
269,Kalena Agrahara
270,Sarjapur
271,Talaghattapura
272,Kengeri Satellite Town
273,Sundara Nagar
274,Kogilu
275,Hegde Nagar
276,Balagere
277,Meenakunte
278,Kadugodi
279,Jigani
280,Gollarapalya Hosahalli
281,7th Phase JP Nagar
282,Srirampura
283,Electronics City Phase 1
284,Bisuvanahalli
285,Old Madras Road
286,Kalena Agrahara
287,Kaggadasapura
288,Silver Springs Layout
289,Chandapura
290,Kanakpura Road
291,Haralur Road
292,Electronic City Phase II
293,Hebbal
294,9th Phase JP Nagar
295,Jakkur
296,TC Palaya
297,Maruthi Sevanagar
298,RMV 2nd Stage
299,Giri Nagar
300,Sarjapur  Road
301,Singasandra
302,Kalena Agrahara
303,Vijayanagar
304,Kothanur
305,AECS Layout
306,Kanakpura Road
307,Mallasandra
308,Begur
309,JP Nagar
310,Panathur
311,Sunder Ram Shetty Nagar
312,Yelahanka
313,Kanakpura Road
314,Malleshpalya
315,Srirampura
316,Kodathi
317,Whitefield
318,Munnekollal
319,Motappa Layout
320,Hennur Road
321,Electronic City
322,Marathahalli
323,Akshaya Vana
324,Rajaji Nagar
325,Giri Nagar
326,Haralur Road
327,Manayata Tech Park
328,Kaval Byrasandra
329,Kaggalipura
330,Basavanna Nagar
331,Sarjapur  Road
332,Haralur Road
333,6th Phase JP Nagar
334,Ulsoor
335,Whitefield
336,Uttarahalli
337,Thigalarapalya
338,Somasundara Palya
339,T.C PALYA
340,Muneshwara Nagar
341, Devarachikkanahalli
342,Kalena Agrahara
343,7th Phase JP Nagar
344,Kanakpura Road
345,Basaveshwara Nagar
346,Bull Temple Road
347,Bommasandra
348,Prashanth Nagar
349,Suragajakkanahalli
350,Ardendale
351,Harlur
352,Sampigehalli
353,Akshaya Nagar
354,Electronic City Phase II
355,RMV
356,Banashankari3rd stage bigbazar
357,Bagalur Main Road
358,Kodihalli
359,Magadi Road
360,Narayanapura
361,MS Pallya
362,Binny Mills Employees Colony
363,Bannerghatta Road
364,Hennur
365,Chandapura
366,Bellandur
367,5th Phase JP Nagar
368,KR Puram
369,Balagere
370,Hebbal
371,Kodigehaali
372,Bannerghatta Road
373,Gopalapura
374,Begur Road
375,Lakshminarayana Pura
376,Billekahalli
377,8th Phase JP Nagar
378,Electronic City
379,Jalahalli
380,Hegde Nagar
381,Mahadevpura
382,Anekal
383,Begur Road
384,Kengeri
385,Kanakpura Road
386,"Hoodi Circle, "
387,Vijayanagar
388,Vijayanagar
389,7th Phase JP Nagar
390,Raja Rajeshwari Nagar
391,Sompura
392,Yeshwanthpur
393,Electronics City Phase 1
394,Ashirvad Colony
395,Doddathoguru
396,Dodda Nekkundi
397,K N Extension
398,Hosur Road
399,Chandapura
400,Whitefield
401,Whitefield
402,Battarahalli
403,Gokula Extension
404,7th Phase JP Nagar
405,Kamakshipalya
406,Bannerghatta Road
407,Rajaji Nagar
408,Rajaji Nagar
409,Sultan Palaya
410,Kengeri
411,Sanne Amanikere
412,Kengeri
413,Mahalakshmi Layout
414,Kanakpura Road
415,Amco Colony
416,Billekahalli
417,Nagarbhavi
418,Anandapura
419,Bommasandra Industrial Area
420,TC Palaya
421,Budigere
422,Bommasandra
423,Ambalipura
424,Hoodi
425,Chandapura
426,Balagere
427,CV Raman Nagar
